country,Predicted_Total
Argentina,3
Armenia,4
Australia,48
Austria,7
Azerbaijan,7
Bahamas,2
Bahrain,1
Belarus,7
Belgium,7
Bermuda,1
Botswana,1
Brazil,23
Bulgaria,6
Burkina Faso,1
Canada,27
Chinese Taipei,14
Colombia,5
Croatia,11
Cuba,16
Czech Republic,13
Côte d'Ivoire,1
Denmark,14
Dominican Republic,5
Ecuador,3
Egypt,6
Estonia,2
Ethiopia,4
Fiji,2
Finland,2
France,37
Georgia,8
Germany,46
Ghana,1
Great Britain,70
Greece,4
Grenada,1
"Hong Kong, China",6
Hungary,21
India,7
Indonesia,6
Ireland,5
Islamic Republic of Iran,7
Israel,4
Italy,43
Jamaica,8
Japan,60
Jordan,2
Kazakhstan,8
Kenya,10
Kosovo,2
Kuwait,1
Kyrgyzstan,3
Latvia,2
Lithuania,1
Malaysia,3
Mexico,6
Mongolia,4
Morocco,1
Namibia,1
Netherlands,41
New Zealand,25
Nigeria,2
North Macedonia,1
Norway,9
People's Republic of China,104
Philippines,4
Poland,16
Portugal,4
Puerto Rico,1
Qatar,4
ROC,82
Republic of Korea,22
Republic of Moldova,1
Romania,6
San Marino,4
Saudi Arabia,1
Serbia,9
Slovakia,4
Slovenia,5
South Africa,3
Spain,19
Sweden,10
Switzerland,15
Syrian Arab Republic,1
Thailand,2
Tunisia,2
Turkey,13
Turkmenistan,1
Uganda,4
Ukraine,22
United States of America,115
Uzbekistan,5
Venezuela,4
